ANDHRA PRADESH,"","","","",""
8 . GIRI NIVARTHI RAO YADAV,M 52,GEN IND,2873,0,2873
6 . V. RAVINDER RAO,M 35,GEN TRS,2722,1,2723
5 . R. V. MOHANA REDDY,M 60,GEN JP,2623,1,2624
7 . K. V. KRISHNA KUMAR,M 26,GEN IND,2083,0,2083
"",TOTAL:,"",818316,493,818809
Constituency  : 27 . NANDYAL,"","","","",""
2 . S. P. Y. REDDY,M 54,GEN INC,457676,850,458526
1 . BHUMA SHOBHA NAGI REDDY,F 34,GEN TDP,346453,394,346847
9 . LAKU OBULESU,M 42,SC IND,7662,0,7662
3 . A. C  V. SUBBAIAH,M 40,GEN BSP,7463,5,7468
4 . S. VASUDEV PRASAD,M 29,GEN TRS,2682,0,2682
8 . RAMAKRISHNA REDDY. S,M 40,GEN IND,2020,0,2020
7 . MALA GUNAM PALLE GOKARI,M 49,SC IND,1798,2,1800
5 . INJETI KRISHNA REDDY,M 40,GEN IND,1552,0,1552
6 . BUDDA REDDY SRINIVASA REDDY,M 33,GEN IND,1418,1,1419
"",TOTAL:,"",828724,1252,829976
Constituency  : 28 . NAGARKURNOOL (SC),"","","","",""
1 . DR.MANDA JAGANNATH,M 52,SC TDP,404748,298,405046
4 . K.S.RATNAM,M 46,SC IND,304989,407,305396
3 . P.BHAGAVANTHU,M 28,SC IND,119812,1,119813
2 . P. LALAIAH,M 60,SC BSP,27230,17,27247
5 . DR. G.RAGHAVULU,M 47,SC IND,25845,3,25848
"",TOTAL:,"",882624,726,883350


ANDHRA PRADESH,"","","","",""
Constituency  : 29 . MAHABUBNAGAR,"","","","",""
3 . D. VITTAL RAO,M 53,GEN INC,428606,158,428764
1 . YELKOTI YELLA REDDY,M 64,GEN TDP,380711,146,380857
4 . SMT. GUNDALA VIJAYA LAKSHMI,F 56,GEN PPOI,25842,0,25842
2 . G. RAMCHANDRAIAH YADAV,M 47,GEN BSP,18301,3,18304
5 . MOHD. MAZHER HUSSAIN,M 52,GEN MUL,12783,0,12783
"",TOTAL:,"",866243,307,866550
Constituency  : 30 . HYDERABAD,"","","","",""
4 . ASADUDDIN OWAISI,M 37,GEN AIMIM,378822,32,378854
3 . G.SUBASH CHANDERJI,M 50,GEN BJP,278477,232,278709
1 . KONDA LAKSHMA REDDY,M 56,GEN INC,249433,83,249516
5 . MAJEEDULLAH KHAN @ FARHAT KHAN,M 36,GEN MBT,47559,1,47560
2 . SMT.G.SHOBHA RANI,F 41,GEN BSP,11068,0,11068
10 . SALAHUDDIN AHMED S.K.,M 50,GEN IND,6158,0,6158
9 . SYED GAFFAR,M 40,GEN IND,4523,0,4523
6 . SMT.VARSHA DHAWAN,F 48,GEN PPOI,4199,0,4199
7 . BHAGWAN DAS,M 45,GEN IND,3189,0,3189
8 . MOHSIN-BIN-HUSSAIN AL-KASARI,M 28,GEN IND,2961,0,2961
"",TOTAL:,"",986389,348,986737
Constituency  : 31 . SECUNDERABAD,"","","","",""
1 . M. ANJAN KUMAR YADAV,M 39,GEN INC,485687,23,485710
3 . BANDARU DATTATRAYA,M 57,GEN BJP,416916,36,416952
7 . HUMERA AZIZ,F 32,GEN AIMIM,38394,0,38394
2 . M.D. PAUL VEDANTH,M 44,GEN BSP,7815,1,7816
10 . H.K. JAISWAL,M 62,GEN IND,4787,1,4788
13 . SYED NAWAZ AHMED,M 42,GEN IND,3830,0,3830
4 . ABDUS SATTAR MUJAHED,M 37,GEN MUL,3530,0,3530
12 . SEELAM NARAYANA,M 40,GEN IND,3398,0,3398
5 . N. CHANDRA SHEKAR,M 36,GEN MCPI(S),2978,0,2978
8 . ACHANTA BAPIRAJU,M 64,GEN IND,1927,0,1927
6 . MEGHA MURALI,M 47,GEN PPOI,1883,1,1884
11 . PADM YADAGIRI,M 34,GEN IND,1253,0,1253
9 . KAILASH CHANDRA,M 61,GEN IND,828,0,828
"",TOTAL:,"",973226,62,973288
Constituency  : 32 . SIDDIPET (SC),"","","","",""
3 . SARVEY SATHYANARAYANA,M 49,SC INC,593155,724,593879
2 . DR.K.LINGAIAH,M 60,SC TDP,454651,256,454907
1 . SMT.PALADUGU GOURAMMA,F 30,SC BSP,31945,4,31949
4 . B.O.V.RAO,M 60,SC IND,25068,1,25069
5 . Y.SAMAIAH,M 37,SC IND,14010,0,14010
"",TOTAL:,"",1118829,985,1119814


ANDHRA PRADESH,"","","","",""
Constituency  : 33 . MEDAK,"","","","",""
3 . A. NARENDRA,M 49,GEN TRS,452671,1067,453738
2 . P RAMACHANDRA REDDY,M 73,GEN BJP,329456,516,329972
1 . NALLA SURYAPRAKASH,M 43,GEN BSP,52243,30,52273
4 . MD. ULFATHALI,M 62,GEN IND,34454,22,34476
6 . K. LAXMAIAH YADAV,M 45,GEN IND,18456,1,18457
5 . P. JEEVULA NAIK,M 57,GEN IND,12094,5,12099
"",TOTAL:,"",899374,1641,901015
Constituency  : 34 . NIZAMABAD,"","","","",""
1 . MADHU GOUD YASKHI,M 45,GEN INC,441550,592,442142
