Year,State,Constituency,State_Code,Constituency_Number,Category,Candidates_Nominated_Men,Candidates_Nominated_Women,Candidates_Nominated_Others,Candidates_Nominated_Total,Nominations_Rejected_Men,Nominations_Rejected_Women,Nominations_Rejected_Others,Nominations_Rejected_Total,Candidates_Withdrawn_Men,Candidates_Withdrawn_Women,Candidates_Withdrawn_Others,Candidates_Withdrawn_Total,Contested_Men,Contested_Women,Contested_Others,Contested_Total,Forfeited_Men,Forfeited_Women,Forfeited_Others,Forfeited_Total,General_Electors_Men,General_Electors_Women,General_Electors_Others,General_Electors_Total,Overseas_Electors_Men,Overseas_Electors_Women,Overseas_Electors_Others,Overseas_Electors_Total,Service_Electors_Men,Service_Electors_Women,Service_Electors_Others,Service_Electors_Total,Total_Electors_Men,Total_Electors_Women,Total_Electors_Others,Total_Electors,General_Voters_Men,General_Voters_Women,General_Voters_Others,General_Voters_Total,Overseas_Voters_Men,Overseas_Voters_Women,Overseas_Electors_Others,Overseas_Voters_Total,Proxy_Voters,Postal_Voters_Men,Postal_Voters_Women,Postal_Voters_Total,Total_Voters_Men,Total_Voters_Women,Total_Voters,Total Votes Polled,Rejected_Votes,Votes Rejected Due To Other Reason,% of Votes Rejected,Rejected_Votes_Postal,Polling_Percentage_Men,Polling_Percentage_Women,Polling_Percentage_Total,Votes Not Retrieved From EVM,TOTAL VOTES POLLED ON EVM,TOTAL DEDUCTED VOTES FROM EVM,TOTAL VALID VOTES POLLED ON EVM,POSTAL VOTES COUNTED,POSTAL VOTES DEDUCTED,VALID POSTAL VOTES,Valid Votes,Total_Valid_Votes_Polled,TEST VOTES POLLED ON EVM,VOTES POLLED FOR NOTA,Missing_Votes,Ballot_Paper_Set_Apart,Tendered_Votes,Polling_Stations,Avg_Per_Polling_Station,Re-Poll_Stations
2014,, Nandyal,S01,34,,23,1,0,24,8,0,0,8,1,1,0,2,14,0,0,14,12,0,0,12,782039,793391,234,1575664,0,0,0,0,1087,194,,1281,783126,793585,234,1576945,601303,599288,16,1200607,0,0,0,0,0,,,9073,,,1209680,,,0,,,,,76.71,,1200607,7089,1193518,9073,4750,4323,,1197841,0,7115,,, 0 ,1732,910,0
2014,, Kurnool,S01,35,,14,2,0,16,2,1,0,3,1,0,0,1,11,1,0,12,10,0,0,10,738348,742680,154,1481182,0,0,0,0,484,125,,609,738832,742805,154,1481791,543424,519253,3,1062680,0,0,0,0,0,,,5390,,,1068070,,,0,,,,,72.08,,1062680,9369,1053311,5390,2354,3036,,1056347,0,9385,,, 0 ,1571,943,0
2014,, Anantapur,S01,36,,16,1,0,17,3,0,0,3,1,0,0,1,12,1,0,13,10,1,0,11,774905,761114,145,1536164,0,0,0,0,601,129,,730,775506,761243,145,1536894,612936,592912,1,1205849,0,0,0,0,0,,,6346,,,1212195,,,0,,,,,78.87,,1205849,8776,1197073,6346,131,6215,,1203288,0,8857,,, 0 ,1671,920,0
2014,, Hindupur,S01,37,,13,1,0,14,0,0,0,0,1,1,0,2,12,0,0,12,10,0,0,10,734024,711651,67,1445742,0,0,0,0,650,104,,754,734674,711755,67,1446496,598591,572192,0,1170783,0,0,0,0,0,,,8487,,,1179270,,,0,,,,,81.53,,1170783,8114,1162669,8487,2088,6399,,1169068,0,8189,,, 1 ,1663,870,0
2014,, Kadapa,S01,38,,22,2,0,24,1,1,0,2,8,0,0,8,13,1,0,14,11,1,0,12,764132,785234,113,1549479,0,0,0,0,815,146,,961,764947,785380,113,1550440,583320,606195,1,1189516,0,0,0,0,0,,,11604,,,1201120,,,0,,,,,77.47,,1189516,6068,1183448,11604,448,11156,,1194604,0,6058,,, 1 ,1800,861,3
2014,, Nellore,S01,39,,17,0,0,17,1,0,0,1,2,0,0,2,14,0,0,14,12,0,0,12,796337,808911,189,1605437,1,0,0,1,485,204,,689,796823,809115,189,1606127,589353,590606,9,1179968,0,0,0,0,0,,,8893,,,1188861,,,0,,,,,74.02,,1179968,5491,1174477,8893,1271,7622,,1182099,0,5549,,, 1 ,1799,893,0
2014,, Tirupati,S01,40,,18,1,0,19,2,0,0,2,3,0,0,3,13,1,0,14,11,1,0,12,778167,795303,169,1573639,0,0,0,0,340,182,,522,778507,795485,169,1574161,602087,605328,3,1207418,0,0,0,0,0,,,6945,,,1214363,,,0,,,,,77.14,,1207418,8619,1198799,6945,1372,5573,,1204372,0,8690,,, 0 ,1775,887,0
2014,, Rajampet,S01,41,,10,2,0,12,2,0,0,2,0,1,0,1,8,1,0,9,7,0,0,7,734681,751776,149,1486606,0,0,0,0,932,253,,1185,735613,752029,149,1487791,570991,582836,8,1153835,0,0,0,0,0,,,7406,,,1161241,,,0,,,,,78.05,,1153835,7095,1146740,7406,2945,4461,,1151201,0,7116,,, 0 ,1679,886,0
2014,, Chittoor,S01,42,,7,3,0,10,0,1,0,1,2,0,0,2,5,2,0,7,4,1,0,5,721613,727228,133,1448974,0,0,0,0,2252,625,,2877,723865,727853,133,1451851,595000,597153,0,1192153,0,0,0,0,0,,,6984,,,1199137,,,0,,,,,82.59,,1192153,6940,1185213,6984,278,6706,,1191919,0,6996,,, 0 ,1582,918,0
2014,, ARUNACHAL WEST,S02,1,,8,0,0,8,0,0,0,0,0,0,0,0,8,0,0,8,6,0,0,6,218290,226991,0,445281,0,0,0,0,1125,234,,1359,219415,227225,0,446640,155623,170663,0,326286,0,0,0,0,1,,,11385,,,337671,,,0,,,,,75.6,,326286,2294,323992,11385,1528,9857,,333849,0,1816,,, 0 ,1259,355,0
